,brand,year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
0,Toyota,2024.0,10.0,Spain,Supra,Sedan,Hybrid,34573.0,474614.0,20.0,1.66,1.43,3.37,9,1192.0
1,Tesla,2018.0,12.0,Spain,Model 3,Suv,Electric,49727.0,75488.0,11.0,1.79,1.13,3.24,7,197.0
2,Toyota,2015.0,6.0,India,Corolla,Sedan,Electric,58338.0,538524.0,54.0,0.97,7.4,6.32,4,1800.0
4,Toyota,2016.0,3.0,UK,C-HR,Suv,Petrol,76745.0,246108.0,30.0,1.94,1.98,2.81,4,1320.0
5,Toyota,2018.0,8.0,Italy,Yaris,Sedan,Hybrid,60218.0,616677.0,37.0,1.82,1.36,3.32,1,2117.0
6,Volkswagen,2022.0,7.0,Italy,Golf,Sedan,Hybrid,68198.0,155186.0,8.0,1.78,0.62,3.62,3,1486.0
7,BMW,2017.0,12.0,Brazil,X5,Sedan,Electric,40730.0,414271.0,398.0,1.2078982584750677,3.0653563407989424,10.389174202698364,2,1096.0
8,Mercedes-Benz,2024.0,12.0,UK,A-Class,Sedan,Electric,126209.0,349404.0,34.0,1.81,1.15,5.04,3,534.0
9,Volkswagen,2018.0,12.0,Australia,Arteon,Sedan,Hybrid,44620.0,175221.0,45.0,1.69,3.33,4.54,4,909.0
10,Porsche,2022.0,1.0,Italy,Cayenne,Suv,Petrol,90507.0,160508.0,28.0,1.78,1.35,3.33,8,245.0
12,Tesla,2015.0,8.0,Germany,Model S Plaid,Suv,Electric,126124.0,234877.0,20.0,1.92,1.61,3.07,6,218.0
14,Volkswagen,2018.0,5.0,Japan,Polo,Sedan,Diesel,30749.0,595985.0,30.0,1.42,1.64,0.13,5,2759.0
15,Audi,2021.0,4.0,Mexico,A6,Sedan,Hybrid,87794.0,525761.0,30.0,1.05,2.15,10.76,10,569.0
17,BMW,2020.0,12.0,India,iX,Sedan,Petrol,100425.0,430791.0,200.0,1.146235567352459,6.573081562027015,6.573405958770348,6,827.0
18,Volkswagen,2018.0,6.0,India,Arteon,Sedan,Hybrid,77354.0,530350.0,69.0,0.99,7.37,6.61,7,1963.0
19,Toyota,2020.0,9.0,Netherlands,Prius,Suv,Hybrid,40740.0,496842.0,83.0,2.1,2.05,3.72,6,2235.0
21,Mercedes-Benz,2024.0,12.0,Italy,S-Class,Sedan,Diesel,128965.0,207175.0,57.0,1.77,0.86,3.64,6,1001.0
22,Porsche,2023.0,4.0,Germany,Macan EV,Suv,Petrol,176336.0,288601.0,2.0,1.9,2.27,3.25,7,472.0
23,Volkswagen,2017.0,3.0,USA,Polo,Sedan,Diesel,50489.0,246261.0,46.0,0.93,2.55,4.34,9,2416.0
24,Volkswagen,2019.0,8.0,Japan,T-Roc,Suv,Electric,29886.0,307783.0,41.0,1.46,1.53,0.27,8,154.0
25,Porsche,2020.0,9.0,Spain,718,Sedan,Hybrid,151484.0,288757.0,12.0,1.66,1.04,3.68,2,113.0
26,Mercedes-Benz,2015.0,5.0,Spain,S-Class,Sedan,Diesel,107568.0,93451.0,39.0,1.82,0.84,3.23,8,172.0
27,Toyota,2015.0,5.0,India,Prius,Suv,Petrol,69347.0,440823.0,94.0,1.12,7.31,6.43,1,1295.0
28,Audi,2024.0,10.0,Italy,e-tron,Suv,Hybrid,84130.0,470966.0,12.0,1.79,1.18,3.3,6,1029.0
29,Porsche,2019.0,9.0,Canada,Cayenne,Suv,Petrol,175058.0,396232.0,16.5,1.2,2.14,4.24,7,255.0
30,Porsche,2018.0,3.0,France,Cayenne Coupe,Suv,Petrol,151135.0,303978.0,15.0,1.8,1.95,3.39,4,299.0
31,Porsche,2022.0,9.0,Japan,Panamera,Sedan,Hybrid,146264.0,137119.0,10.0,1.56,1.38,0.32,7,321.0
32,Mercedes-Benz,2017.0,3.0,Canada,S-Class,Sedan,Hybrid,57702.0,324033.0,29.0,1.21,1.76,3.79,9,1282.0
33,Toyota,2018.0,6.0,Canada,RAV4,Suv,Electric,23860.0,347728.0,79.0,1.33,2.41,4.19,2,229.0
34,Audi,2015.0,8.0,Brazil,A4,Sedan,Hybrid,61176.0,86343.0,57.0,1.1963698404939982,3.66,10.42,9,55.0
35,Mercedes-Benz,2022.0,8.0,Netherlands,CLA,Sedan,Petrol,63773.0,212241.0,36.0,1.93,1.76,3.69,10,86.0
36,Audi,2021.0,5.0,Japan,Q3,Suv,Diesel,49867.0,410758.0,8.0,1.51,1.27,0.35,1,695.0
37,BMW,2019.0,11.0,Australia,i7,Sedan,Electric,42371.0,323541.0,319.0,1.6939819704323988,3.2080725777960453,3.962350696577481,5,730.0
38,Audi,2021.0,8.0,Spain,RS6,Sedan,Petrol,70904.0,349509.0,56.0,1.85,1.72,3.36,2,405.0
39,Ford,2023.0,1.0,Australia,Escape,Suv,Hybrid,40218.0,281742.0,99.0,1.58,2.9,4.04,2,3057.0
40,Tesla,2023.0,1.0,France,Cybertruck,Suv,Electric,113945.0,108838.0,23.0,1.78,1.82,3.52,6,1950.0
41,Toyota,2024.0,5.0,France,RAV4,Suv,Petrol,79979.0,318291.0,40.0,1.8,1.32,3.34,9,1830.0
43,Ford,2015.0,2.0,Brazil,Escape,Suv,Petrol,28449.0,286360.0,112.0,1.22,3.67,10.24,2,3456.0
44,Volkswagen,2019.0,10.0,USA,T-Roc,Suv,Petrol,48612.0,432808.0,51.0,1.02,2.48,4.78,3,410.0
45,Tesla,2018.0,12.0,Canada,Model X,Suv,Electric,105733.0,141468.0,21.0,1.4,2.51,4.1,9,1746.0
46,Ford,2020.0,2.0,UK,Explorer,Suv,Electric,81822.0,666265.0,46.0,1.44,1.68,0.3,10,1836.0
47,Audi,2022.0,4.0,Netherlands,Q7,Suv,Electric,85793.0,504602.0,26.0,1.91,1.99,3.46,1,389.0
48,Mercedes-Benz,2021.0,9.0,Japan,S-Class,Sedan,Petrol,113143.0,182921.0,33.5,1.45,1.05,0.19,10,1051.0
49,Ford,2024.0,12.0,Italy,Edge,Suv,Petrol,73194.0,757297.0,106.0,1.85,1.42,3.69,10,2932.0
50,Ford,2019.0,11.0,India,Ranger,Suv,Hybrid,65583.0,705106.0,43.0,0.98,7.046118602745924,6.22,7,64.0
