brand,year,month,country,model,segment,engine_type,price_usd,marketing_spend_usd,dealership_count,fuel_price_usd,gdp_growth_percent,interest_rate_percent,competition_index,units_sold
Toyota,2024,10,Spain,Supra,Sedan,Hybrid,34573,474614,20.0,1.66,1.43,3.37,9,1192
Tesla,2018,12,Spain,Model 3,Electric,Electric,49727,75488,11.0,1.79,1.13,3.24,7,197
Toyota,2015,6,India,Corolla,Sedan,Electric,58338,538524,54.0,0.97,7.4,6.32,4,1800
Tesla,2021,1,Germany,Model X,Electric,Electric,119258,50449,5.0,1.94,1.46,2.77,1,
Toyota,2016,3,,C-HR,SUV,PETROL,76745,246108,30.0,1.94,1.98,2.81,4,1320
Toyota,2018,8,Italy,Yaris,Sedan,Hybrid,60218,616677,37.0,1.82,1.36,3.32,1,2117
Volkswagen,2022,7,Italy,Golf,Sedan,Hybrid,68198,155186,8.0,1.78,0.62,3.62,3,1486
BMW,2017,12,Brazil,X5,Sedan,Electric,40730,414271,398.0,1.2078982584750677,3.0653563407989424,10.389174202698364,2,1096
Mercedes-Benz,2024,12,UK,A-Class,Sedan,Electric,126209,349404,34.0,1.81,1.15,5.04,3,534
Volkswagen,2018,12,Australia,Arteon,Sedan,Hybrid,44620,175221,45.0,1.69,3.33,4.54,4,909
Porsche,2022,1,Italy,Cayenne,SUV,Petrol,90507,160508,28.0,1.78,1.35,3.33,8,245
Tesla,2023,5,Netherlands,Model Y LR,Electric,Electric,57587,53904,39.0,1.96,1.76,3.21,10,854
Tesla,2015,8,Germany,Model S Plaid,Electric,,126124,234877,,1.92,1.61,3.07,6,218
Volkswagen,2021,60,India,Polo,Sedan,Hybrid,32790,416608,11.0,1.05,7.44,6.77,2,600
Volkswagen,2018,5,Japan,Polo,Sedan,,30749,595985,30.0,1.42,1.64,0.13,5,2759
Audi,2021,4,Mexico,A6,Sedan,Hybrid,87794,525761,30.0,1.05,2.15,10.76,10,569
Mercedes-Benz,2023,9,Canada,GLS,SUV,Hybrid,103831,257004,43.0,1.31,1.89,4.12,7,
